#{"t_start": 1775974238.6233823, "env_id": "None"}
r,l,t
-32.379135,3,1.149459
-43.431187,3,1.150456
-31.128729,3,1.151456
-44.678436,3,1.152456
-30.260275,4,1.154456
-49.364267,3,1.155457
-49.014383,3,1.156456
-26.470705,2,1.156456
-50.684354,3,1.157456
-35.932999,4,1.159461
-38.67312,5,1.160461
-30.090177,3,1.161461
-22.994831,2,1.162462
-37.320753,3,1.163462
-28.995659,4,1.164462
-27.00719,2,1.166463
-32.220248,3,1.167462
-33.48166,4,1.168462
-35.204274,3,1.169462
-24.283089,3,1.171216
-23.260615,3,1.172223
-26.970421,3,1.173222
-22.911099,2,1.174728
-11.403239,11,1.177735
-31.418282,3,1.178734
-44.240021,3,1.179734
-47.092064,3,1.180734
-21.90948,2,1.181734
-41.235722,3,1.182735
-46.604575,4,1.183735
-27.545693,3,1.185734
-22.357885,3,1.186735
-21.228335,2,1.187735
-32.884303,3,1.188734
-45.926091,4,1.189734
-28.60359,3,1.190735
-67.213591,5,1.191735
-43.327504,4,1.193734
-40.387647,3,1.194735
-42.278294,3,1.195735
-41.591097,3,1.196735
-23.782377,2,1.196735
-41.424827,4,1.198735
-27.472145,3,1.199735
-21.163781,2,1.199735
-38.392407,3,1.200734
-45.012202,5,1.202736
-24.760945,3,1.204772
-28.245395,3,1.205771
-30.58508,2,1.206769
-30.330452,3,1.207798
-44.221852,3,1.209771
-24.699219,2,1.209771
-31.209656,5,1.212772
-31.635953,3,1.213788
-26.566884,2,1.213788
-44.478952,3,1.214778
-21.812943,2,1.215781
-36.647276,7,1.217774
-23.254484,2,1.218778
-33.127063,5,1.220778
-32.387253,3,1.221775
-27.194048,2,1.222785
-40.700282,5,1.224794
-42.10784,3,1.226769
-46.059852,3,1.227775
-21.992879,2,1.228768
-36.971937,4,1.230785
-22.488734,2,1.230785
-43.342016,7,1.233771
-64.047161,4,1.23477
-47.27362,4,1.23577
-87.37936,9,1.238734
-46.055411,4,1.240733
-37.532664,3,1.241734
-22.375047,2,1.241734
-39.595629,3,1.242733
-25.686867,3,1.243733
-23.407321,2,1.244733
-39.181675,3,1.245734
-23.467601,3,1.246733
-29.200193,4,1.247733
-51.138585,4,1.251733
-48.484319,3,1.252733
-30.148063,3,1.253734
-27.560163,3,1.254735
-37.244912,4,1.256733
-12.664925,9,1.260738
-23.685129,2,1.261738
-31.951631,3,1.262738
-43.395729,3,1.263737
-24.376779,4,1.265738
-32.934074,3,1.266738
-45.473526,3,1.267738
-41.311179,3,1.268738
-45.920786,3,1.269738
-25.088913,2,1.269738
-47.446844,3,1.270738
-23.239522,3,1.271738
-83.870474,6,1.274241
-24.086315,3,1.275248
64.076307,11,1.278247
-34.740374,3,1.279247
-30.385236,2,1.279247
-43.212938,7,1.282247
-62.114642,4,1.283247
-41.478227,3,1.284247
-44.44335,4,1.285247
-39.344626,3,1.286247
-93.657552,11,1.290248
-35.01822,3,1.291247
-48.402677,3,1.292247
-33.359713,2,1.293247
-39.789275,3,1.294247
-22.477834,2,1.294247
-40.707606,3,1.295247
-29.032928,2,1.296247
-44.724688,6,1.298246
-31.880086,3,1.299247
-50.479158,4,1.300247
-31.315936,3,1.301247
-26.671131,6,1.303247
-24.590897,2,1.304248
-27.883088,3,1.306247
-26.717547,2,1.306247
-44.308699,4,1.308247
-57.241875,8,1.311247
-32.390836,3,1.313247
-23.105566,2,1.314247
-18.743451,2,1.314247
-18.825349,4,1.316247
-47.734235,3,1.317247
-42.786146,6,1.319247
-26.162934,2,1.320248
-29.882907,3,1.321248
-49.533858,3,1.322247
-31.587736,3,1.323247
-45.979378,3,1.324247
-48.34013,3,1.325247
-33.477877,4,1.326247
-51.010876,3,1.327247
-29.979081,3,1.328248
-43.584232,3,1.329247
-33.107182,4,1.330247
-22.766837,2,1.331247
-21.989025,2,1.332247
-22.646902,2,1.332247
-36.286968,3,1.333247
-39.56934,4,1.335247
-32.565988,6,1.337247
-31.997245,3,1.338247
-28.901157,4,1.339247
-39.343804,3,1.340247
-43.189864,3,1.341247
-30.847611,3,1.342247
-32.752144,3,1.343247
-31.09153,3,1.344248
-23.843042,2,1.345247
-27.062972,2,1.345247
-49.490803,3,1.346247
-45.242243,4,1.347247
-23.448781,2,1.348247
-64.907615,3,1.349247
-28.139852,3,1.350247
-46.065748,3,1.351247
-70.425624,6,1.353247
-43.33746,5,1.355247
-38.164511,11,1.358247
-23.268344,2,1.360253
-34.591141,4,1.362252
-31.12969,3,1.363251
-30.82196,3,1.364251
-41.052529,3,1.365252
-23.337044,3,1.366251
-42.93992,4,1.367251
-34.268155,4,1.368251
-39.919004,10,1.37226
-40.067171,3,1.373259
-44.777522,3,1.373259
-26.469539,3,1.374783
-34.938019,3,1.375803
-20.69988,2,1.376801
-27.663692,4,1.377801
-22.216713,2,1.378801
-11.128416,8,1.380802
-30.743945,3,1.381801
-27.008694,3,1.382802
-44.164688,4,1.384801
-30.380836,2,1.384801
-49.708138,5,1.386801
-22.272963,2,1.387801
-22.289238,3,1.388801
-32.105562,5,1.389801
-24.385651,3,1.390801
-33.628513,3,1.391809
-30.503462,3,1.392801
-26.586844,6,1.3948
-38.293357,4,1.395801
-24.09135,3,1.3968
-22.806936,2,1.3978
-20.760553,4,1.3988
-28.147998,2,1.3998
-33.013723,3,1.4008
-30.708973,3,1.4018
-42.398548,4,1.402801
-30.792218,3,1.403801
-27.011709,3,1.4048
-29.752574,2,1.4058
-40.35621,9,1.408809
-50.690487,3,1.410802
-27.818997,3,1.4118
-39.873741,3,1.4128
-22.991857,2,1.4138
-51.87157,3,1.4148
-45.706984,4,1.4168
-22.971022,2,1.4168
-46.725036,3,1.4178
-31.034041,5,1.4198
-85.879938,11,1.4248
-50.503984,3,1.425802
-47.50154,3,1.427801
-29.728785,3,1.4288
-45.286127,3,1.4298
-31.591126,2,1.4308
-47.000754,3,1.4318
-27.524178,3,1.432801
-28.558712,3,1.433801
-30.016073,3,1.434801
-59.57655,7,1.4368
-35.439204,3,1.437801
-24.075951,2,1.4388
-30.911119,3,1.439801
-45.044569,3,1.440801
-39.721752,3,1.4418
-26.575483,2,1.4418
-20.464949,2,1.4428
-43.14913,4,1.4438
-22.013405,2,1.4448
-31.937324,5,1.4458
-22.045192,2,1.4468
-49.775022,3,1.4478
-45.579951,3,1.4488
-50.404969,3,1.4498
-46.624991,3,1.450801
-42.030732,3,1.4518
-35.13682,3,1.4528
-48.291587,3,1.4538
-74.982813,4,1.455802
-39.567205,3,1.4568
-23.04096,2,1.4568
-39.222892,3,1.4578
-23.91608,3,1.4588
-33.704083,5,1.460815
-47.958,5,1.461815
-46.60442,3,1.462815
-28.460775,3,1.463815
-41.299378,4,1.464815
-33.321383,5,1.466815
-23.641771,2,1.467816
-28.703485,4,1.468816
-29.853972,3,1.469816
-32.915533,3,1.472817
-58.191471,6,1.475351
-32.242631,3,1.47635
-34.132098,3,1.47735
-39.766832,5,1.47935
-38.992688,3,1.480351
-38.952194,3,1.48135
-51.395648,3,1.482345
-49.986977,3,1.483344
-44.261221,3,1.484343
-24.279941,3,1.485343
-41.916229,3,1.486343
-49.476563,3,1.488343
-37.741847,3,1.489343
-26.049242,3,1.491343
-38.108541,4,1.492343
-36.883873,3,1.493343
-28.581989,3,1.494343
-24.317265,2,1.495343
-48.350316,3,1.496343
-38.795262,3,1.497343
-39.246023,3,1.498343
-46.806605,3,1.499343
-66.898642,8,1.502343
-35.51911,3,1.503343
-44.626461,5,1.505343
-48.851086,3,1.506343
-48.726854,4,1.507343
-20.691332,2,1.508343
-32.890174,3,1.509343
-22.227283,3,1.510343
-22.817027,2,1.510343
-34.684245,3,1.511343
-24.751003,4,1.512343
-32.790389,4,1.514343
-33.313049,4,1.515343
-47.473167,3,1.516344
-20.633644,2,1.517343
-28.213914,3,1.518507
-50.514266,3,1.519013
-31.480182,3,1.52102
-26.460775,3,1.52202
-33.76274,3,1.52302
-43.632994,3,1.52502
-42.459406,5,1.52702
-26.36888,2,1.52802
-45.242949,5,1.52902
-47.281626,3,1.530113
